h;s;v;target;
26;252;177;Field;
26;244;177;Field;
26;254;187;Field;
26;247;165;Field;
;;;Field;
26;240;188;Field;
26;237;184;Field;
26;250;160;Field;
25;246;142;Field;
;;;Field;
25;252;182;Field;
24;248;172;Field;
25;253;135;Field;
24;234;158;Field;
25;249;174;Field;
;;;Field;
25;232;160;Field;
25;236;172;Field;
23;251;181;Field;
23;254;184;Field;
;;;Field;
22;245;171;Field;
23;252;185;Field;
23;251;195;Field;
23;251;201;Field;
;;;;21
;;;;
;;;;
;;;;
;;;;
46;158;47;Forest;
46;163;51;Forest;
44;196;63;Forest;
36;197;52;Forest;
50;101;44;Forest;
45;151;56;Forest;
36;151;60;Forest;
50;105;41;Forest;
35;105;49;Forest;
34;112;54;Forest;
34;166;52;Forest;
40;155;45;Forest;
36;150;34;Forest;
46;132;70;Forest;
37;137;39;Forest;
37;148;78;Forest;
;;;Forest;
;;;Forest;
28;187;45;Forest;
36;188;43;Forest;
;;;Forest;
;;;Forest;
;;;Forest;
30;216;61;Forest;
34;214;50;Forest;
;;;;20
;;;;
;;;;
;;;;
;;;Lake;
;;;Lake;
105;254;184;Lake;
106;253;133;Lake;
;;;Lake;
106;244;144;Lake;
;;;Lake;
108;253;139;Lake;
108;241;117;Lake;
;;;Lake;
108;253;138;Lake;
109;253;124;Lake;
;;;Lake;
109;253;162;Lake;
108;249;128;Lake;
;;;Lake;
108;241;131;Lake;
109;253;162;Lake;
108;240;120;Lake;
;;;Lake;
106;355;165;Lake;
106;252;150;Lake;
;;;Lake;
106;253;153;Lake;
106;240;125;Lake;
;;;;16
;;;;
;;;;
;;;;
;;;;
42;220;141;Grassland;
44;222;142;Grassland;
42;234;138;Grassland;
40;234;141;Grassland;
40;239;126;Grassland;
43;210;158;Grassland;
38;215;139;Grassland;
35;199;93;Grassland;
26;251;194;Grassland;
44;232;137;Grassland;
43;216;120;Grassland;
39;220;74;Grassland;
42;202;161;Grassland;
;;;Grassland;
;;;Grassland;
;;;Grassland;
;;;Grassland;
;;;Grassland;
35;232;110;Grassland;
;;;Grassland;
;;;Grassland;
37;247;116;Grassland;
35;231;117;Grassland;
;;;;16
;;;;
;;;;
;;;;
;;;;
23;126;88;Swamp;
23;131;103;Swamp;
23;150;89;Swamp;
24;134;100;Swamp;
24;148;86;Swamp;
23;134;107;Swamp;
22;70;95;Swamp;
22;88;89;Swamp;
23;105;138;Swamp;
23;149;103;Swamp;
21;112;95;Swamp;
;;;Swamp;
;;;Swamp;
21;80;82;Swamp;
;;;Swamp;
;;;Swamp;
22;75;82;Swamp;
;;;Swamp;
;;;Swamp;
;;;Swamp;
;;;Swamp;
18;166;104;Swamp;
18;142;118;Swamp;
;;;;15
;;;;
;;;;
;;;;
24;84;37;Mine;
24;108;64;Mine;
24;102;33;Mine;
24;111;32;Mine;
24;106;24;Mine;
22;130;65;Mine;
21;133;67;Mine;
24;118;66;Mine;
22;130;82;Mine;
24;99;59;Mine;
22;117;73;Mine;
23;51;43;Mine;
;;;Mine;
23;64;31;Mine;
;;;Mine;
;;;Mine;
24;81;37;Mine;
;;;Mine;
20;66;35;Mine;
20;92;38;Mine;
;;;Mine;
19;119;50;Mine;
19;82;31;Mine;
;;;;18
;;;;
;;;;
;;;;
;;;;
21;61;120;Home;
21;81;128;Home;
40;116;61;Home;
34;85;77;Home;
17;81;123;Home;
24;118;83;Home;
31;149;65;Home;
31;149;65;Home;
29;80;103;Home;
29;60;140;Home;
35;63;67;Home;
30;56;79;Home;
;;;Home;
87;41;92;Home;
;;;Home;
;;;Home;
33;79;59;Home;
;;;Home;
23;194;80;Home;
;;;Home;
;;;Home;
22;155;89;Home;
;;;Home;
24;127;77;Home;
;;;;17
;;;;
;;;;
20;222;122;Blank;
20;216;125;Blank;
20;110;182;Blank;
20;129;176;Blank;
19;187;132;Blank;
18;200;130;Blank;
20;201;150;Blank;
21;198;154;Blank;
18;168;133;Blank;
18;182;132;Blank;
19;111;184;Blank;
19;127;179;Blank;
21;200;144;Blank;
20;209;140;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;Blank;
;;;;14
;;137;;
